wahl_jahr;kanton_nummer;kanton_bezeichnung;wahlberechtigte;eingelegte_wahlzettel;leere_wahlzettel;ungueltige_wahlzettel;gueltige_wahlzettel;wahlbeteiligung;letzte_wahl_wahlbeteiligung;differenz_wahlbeteiligung
2015;0;Schweiz;5283556;2563052;10885;30665;2521502;48.509980778;48.504810858;0.0051699201
2015;1;Zürich;907623;428837;199;869;427769;47.24836193;46.817958641;0.4304032894
2015;2;Bern / Berne;729203;357770;485;3258;354027;49.063155253;50.365157759;-1.302002506
2015;3;Luzern;271143;138096;216;1788;136092;50.931058519;50.921757317;0.0093012016
2015;4;Uri;26414;15091;437;116;14538;57.132581207;49.793182689;7.3393985183
2015;5;Schwyz;102145;54857;48;517;54292;53.705027167;50.493416028;3.2116111396
2015;6;Obwalden;26244;15617;226;253;15138;59.506934918;64.267872011;-4.760937093
2015;7;Nidwalden;30810;17971;1594;221;16156;58.328464784;60.932714159;-2.604249375
2015;8;Glarus;26268;10890;175;178;10537;41.457286432;34.185903827;7.2713826052
2015;9;Zug;74803;40200;118;1015;39067;53.741160114;55.129793305;-1.388633191
2015;10;Fribourg / Freiburg;196027;92462;419;1109;90934;47.167992164;47.217834326;-0.049842162
2015;11;Solothurn;177292;89049;156;1648;87245;50.227308621;51.714968043;-1.487659422
2015;12;Basel-Stadt;113717;57308;152;1386;55770;50.39527951;50.267393744;0.1278857658
2015;13;Basel-Landschaft;187863;87941;123;770;87048;46.811240106;48.151022986;-1.339782881
2015;14;Schaffhausen;51036;31969;482;448;31039;62.640097186;60.789827853;1.8502693334
2015;15;Appenzell Ausserrhoden;38498;18131;330;86;17715;47.095953037;47.507829503;-0.411876466
2015;16;Appenzell Innerrhoden;11565;4247;72;85;4090;36.722870731;37.260081;-0.53721027
2015;17;St. Gallen;317969;147749;120;1998;145631;46.466479437;46.760622161;-0.294142724
2015;18;Graubünden / Grigioni / Grischun;137126;63053;145;2314;60594;45.981797763;45.112142133;0.8696556296
2015;19;Aargau;414745;200147;161;2022;197964;48.257845182;48.510368537;-0.252523355
2015;20;Thurgau;167720;78192;108;1688;76396;46.620558073;46.727078958;-0.106520885
2015;21;Ticino;218580;118855;1470;1078;116307;54.375972184;54.300504943;0.0754672407
2015;22;Vaud;428569;183970;1017;2757;180196;42.926576584;41.630734191;1.2958423934
2015;23;Valais / Wallis;216041;129103;1267;2086;125750;59.758564347;61.845792237;-2.08722789
2015;24;Neuchâtel;111304;46510;268;652;45590;41.786458708;42.393064425;-0.606605717
2015;25;Genève;248915;106852;826;2225;103801;42.92710363;42.392327361;0.5347762683
2015;26;Jura;51936;28185;271;98;27816;54.268715342;44.38562879;9.8830865521
