Name,Kanton,Region,Partei,Account-Art,Page ID,Link zu Page,Link zu Transparenzpage,
Denis de la Reussille,NE,CH/F,POP,Person,,,,
Samuel Bendahan,VD,CH/F,SP,Person,,,,
Christian Levrat,FR,CH/F,SP,Person,,,,
Carlo Sommaruga,GE,CH/F,SP,Person,840937016002783,,,
Daniel Brélaz,VD,CH/F,Grüne,Person,279933969053834,,,
Adèle Thorens,VD,CH/F,Grüne,Person,,,,
Isabelle Chevalley,VD,CH/F,Grünliberal,Person,125129150842430,,,
Brigitte Crottaz,VD,CH/F,SP,Person,,,,
Roger Nordmann,VD,CH/F,SP,Person,411280756298812,,,
Claudia Friedl,SG,CH/D,SP,Person,411552625713144,,,
Daniel Fässler,AI,CH/D,CVP,Person,,,,
Kurt Fluri,SO,CH/D,FDP,Person,332932917333355,,,
Corrado Pardini,BE,CH/D,SP,Person,252750384787532,,,
Valérie Piller Carrard,FR,CH/F,SP,Person,190362411715674,,,
Roger Golay,GE,CH/F,MCG,Person,,,,
Heinz Siegenthaler,BE,CH/D,BDP,Person,,,,
Frédéric Borloz,VD,CH/F,FDP,Person,824815077614240,,,
Matthias Aebischer,BE,CH/D,SP,Person,1459077757648911,,,
Edith Graf-Litscher,TG,CH/D,SP,Person,,,,
Flavia Wasserfallen,BE,CH/D,SP,Person,,,,
Irène Kälin,AG,CH/D,Grüne,Person,,,,
Barbara Gysi,SG,CH/D,SP,Person,888626258006362,,,
Thomas Hardegger,ZH,CH/D,SP,Person,1604260693185147,,,
Pierre-André Page,FR,CH/F,SVP,Person,764858193642975,,,
Hugues Hiltpold,GE,CH/F,FDP,Person,153865381336118,,,
Prisca Birrer-Heimo,LU,CH/D,SP,Person,,,,
Samira Marti,BL,CH/D,SP,Person,814161388652681,,,
Ursula Schneider Schüttel,FR,CH/F,SP,Person,,,,
Martina Munz,SH,CH/D,SP,Person,,,,
Michaël Buffat,VD,CH/F,SVP,Person,747973505347515,,,
Michael Töngi,LU,CH/D,Grüne,Person,1809601932701449,,,
Nadine Masshardt,BE,CH/D,SP,Person,318012578602503,,,
Marianne Streiff-Feller,BE,CH/D,CVP,Person,233039246707590,,,*nennt sich nur noch Marianne Streiff
Claude Béglé,VD,CH/F,CVP,Person,741685339286491,,,
Rosmarie Quadranti,ZH,CH/D,BDP,Person,1031179263634811,,,
Mike Egger,SG,CH/D,SVP,Person,478105838994629,,,
