page_name,page_id,funding_entity,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,ad_creative_body,ad_snapshot_url,currency,search_expression,crawl_timestamp,impressions.lower_bound,impressions.upper_bound,spend.lower_bound,spend.upper_bound,ad_creative_link_caption,ad_creative_link_title,ad_creative_link_description,kanton,region,partei,account_art,ad_uuid
CVP Uri,356635587779070,Elias Briker,2019-09-02T13:46:22Z,2019-09-02T13:46:22Z,2019-09-04T12:02:54Z,"Lernen Sie Simon Stadler und Heidi Zgraggen besser kennen: Am Mittwochabend in der ""Alten Post"" in Silenen. Übrigens gibt es auch gute Ländlermusik zu hören.",https://www.facebook.com/ads/archive/render_ad/?id=945952059077866,CHF,356635587779070,2019-10-10T02:50:07Z,1000,4999,0,99,simon-stadler.ch,"""Stubätä"" mit Stadler und Z'graggen","Das Wahlkampfteam der CVP Uri organisiert fünf Mal im Herbst eine ""Stubätä"" mit Nationalratskandidat Simon Stadler und mit Beteiligung von Ständeratsk",UR,CH/D,CVP,Kantonale Sektion,1
CVP Uri,356635587779070,Elias Briker,2019-09-02T13:46:22Z,2019-09-02T13:46:22Z,2019-09-04T12:02:54Z,"Lernen Sie Simon Stadler und Heidi Zgraggen besser kennen: Am Mittwochabend in der ""Alten Post"" in Silenen. Übrigens gibt es auch gute Ländlermusik zu hören.",https://www.facebook.com/ads/archive/render_ad/?id=945952059077866,CHF,356635587779070,2019-09-03T02:38:56Z,0,999,0,99,simon-stadler.ch,"""Stubätä"" mit Stadler und Z'graggen","Das Wahlkampfteam der CVP Uri organisiert fünf Mal im Herbst eine ""Stubätä"" mit Nationalratskandidat Simon Stadler und mit Beteiligung von Ständeratsk",UR,CH/D,CVP,Kantonale Sektion,1
CVP Uri,356635587779070,Elias Briker,2019-09-02T12:02:49Z,2019-09-02T12:02:54Z,2019-09-04T12:02:54Z,"Lernen Sie Simon Stadler und Heidi Zgraggen besser kennen: Am Mittwochabend in der ""Alten Post"" in Silenen. Übrigens gibt es auch gute Ländlermusik zu hören.",https://www.facebook.com/ads/archive/render_ad/?id=2859544194059827,CHF,356635587779070,2019-10-10T02:50:07Z,0,999,0,99,simon-stadler.ch,"""Stubätä"" mit Stadler und Z'graggen","Das Wahlkampfteam der CVP Uri organisiert fünf Mal im Herbst eine ""Stubätä"" mit Nationalratskandidat Simon Stadler und mit Beteiligung von Ständeratsk",UR,CH/D,CVP,Kantonale Sektion,2
CVP Kanton Aargau,162748953769688,CVP Aargau,2019-10-08T07:35:13Z,2019-10-08T07:35:14Z,2019-10-20T07:35:13Z,"Für den Nationalrat kandidieren auf unseren Listen 4a bis 4i so viele Junge wie noch nie. Wählen Sie am 20. Oktober 2019 unseren Nachwuchs. Für unsere Zukunft. 
#TeamOrange #WahlCH19 #Wahlen19 Junge CVP Aargau",https://www.facebook.com/ads/archive/render_ad/?id=973431056332652,CHF,162748953769688,2019-10-10T02:26:58Z,5000,9999,0,99,NA,NA,NA,AG,CH/D,CVP,Kantonale Sektion,3
CVP Kanton Aargau,162748953769688,CVP Aargau,2019-10-08T07:35:13Z,2019-10-08T07:35:14Z,2019-10-20T07:35:13Z,"Für den Nationalrat kandidieren auf unseren Listen 4a bis 4i so viele Junge wie noch nie. Wählen Sie am 20. Oktober 2019 unseren Nachwuchs. Für unsere Zukunft. 
#TeamOrange #WahlCH19 #Wahlen19 Junge CVP Aargau",https://www.facebook.com/ads/archive/render_ad/?id=973431056332652,CHF,162748953769688,2019-10-09T02:26:47Z,1000,4999,0,99,NA,NA,NA,AG,CH/D,CVP,Kantonale Sektion,3
BDP Kanton Bern,322804977901887,BDP Kanton Bern,2019-08-23T13:14:10Z,2019-10-09T12:00:00Z,2019-10-16T12:00:00Z,"Jan Wüthrich
https://www.bdp.info/be/de/wahlen2019/nationalratlistejungebdp/janwuethrich/

Am 20. Oktober #langweiligabergut wählen. #WahlCH19",https://www.facebook.com/ads/archive/render_ad/?id=2453854111362074,CHF,322804977901887,2019-10-10T02:22:26Z,0,999,0,99,NA,NA,NA,BE,CH/D,BDP,Kantonale Sektion,4
BDP Kanton Bern,322804977901887,BDP Kanton Bern,2019-08-23T13:13:48Z,2019-10-09T09:00:00Z,2019-10-16T09:00:00Z,"Mia Willener
https://www.bdp.info/be/de/wahlen2019/nationalratlistejungebdp/miawillener/

Am 20. Oktober #langweiligabergut wählen. #WahlCH19
Mia Willener in den Nationalrat",https://www.facebook.com/ads/archive/render_ad/?id=470130123826922,CHF,322804977901887,2019-10-10T02:22:26Z,0,999,0,99,NA,NA,NA,BE,CH/D,BDP,Kantonale Sektion,5
BDP Kanton Bern,322804977901887,BDP Kanton Bern,2019-08-23T13:08:14Z,2019-10-08T12:00:00Z,2019-10-15T12:00:00Z,"Sandra Weibel
https://www.bdp.info/be/de/wahlen2019/nationalratlistejungebdp/sandraweibel/

Am 20. Oktober #langweiligabergut wählen. #WahlCH19",https://www.facebook.com/ads/archive/render_ad/?id=2430353260387206,CHF,322804977901887,2019-10-10T02:22:26Z,0,999,0,99,NA,NA,NA,BE,CH/D,BDP,Kantonale Sektion,6
BDP Kanton Bern,322804977901887,BDP Kanton Bern,2019-08-23T13:07:50Z,2019-10-08T09:00:00Z,2019-10-15T09:00:00Z,"Timo Steinlin
https://www.bdp.info/be/de/wahlen2019/nationalratlistejungebdp/timosteinlin/

Am 20. Oktober #langweiligabergut wählen. #WahlCH19",https://www.facebook.com/ads/archive/render_ad/?id=878363772545967,CHF,322804977901887,2019-10-10T02:22:26Z,0,999,0,99,NA,NA,NA,BE,CH/D,BDP,Kantonale Sektion,7
BDP Kanton Bern,322804977901887,BDP Kanton Bern,2019-10-08T07:05:53Z,2019-10-08T07:05:53Z,2019-10-13T07:05:53Z,"Wir lösen auf: Gesucht war unser Kantonalpräsident, Jan Gnägi!",https://www.facebook.com/ads/archive/render_ad/?id=758780854571136,CHF,322804977901887,2019-10-10T02:22:26Z,0,999,0,99,NA,NA,NA,BE,CH/D,BDP,Kantonale Sektion,8
